DATASET
OBJTYPE "mesh3d"
BEGVEC
ND 8
NC 6
NAME "Velocity"
TIMEUNITS SECONDS
-5.77586089e-02 -1.84630316e-02 -6.30371919e-10
-3.69468667e-01  9.60100953e-02 -9.49779982e-01
-1.85782969e-01  4.48917286e-01  6.86305115e-10
-3.12531389e-01  3.02973978e-02  5.08848518e-01
-3.12531389e-01  3.02973978e-02  0.00000000e+00
TS 0  1.95100000e+00
-4.19766128e-01  2.95502270e-02 -3.45696417e-02
-4.19766128e-01  2.95502270e-02  0.00000000e+00
-7.17207030e-03 -4.87817567e-01 -1.10274868e+00
-2.51581162e-01 -4.75484778e-02  2.38334332e-10
-5.06376428e-01  1.93417015e-01 -1.43540085e+00
-7.37384922e-02  4.25019554e-01  9.37621281e-11
-4.65496349e-01 -1.31669359e-02  1.40384042e-01
-4.65496349e-01 -1.31669359e-02  0.00000000e+00
TS 0  2.00100000e+00
-5.57199461e-01  5.65584472e-03 -1.81696560e-02
-5.57199461e-01  5.65584472e-03  0.00000000e+00
-8.20673551e-02 -6.23465902e-01 -1.05989309e+00
-4.01088580e-01 -6.28371245e-02  1.73088769e-10
-5.84552888e-01  2.64910839e-01 -1.74095554e+00
 3.86085996e-02  3.74691741e-01 -8.43233039e-11
-6.06207342e-01 -5.41528006e-02 -2.55800750e-01
-6.06207342e-01 -5.41528006e-02  0.00000000e+00
TS 0  2.05100000e+00
-6.57265615e-01 -6.18087774e-03 -2.99696893e-02
-6.57265615e-01 -6.18087774e-03  0.00000000e+00
-1.55877261e-01 -7.24608533e-01 -9.85790730e-01
-5.03034803e-01 -7.29762491e-02 -9.17800539e-11
-6.17188317e-01  3.10500720e-01 -1.88205993e+00
 1.37502383e-01  3.15291278e-01  8.11053340e-10
-7.26307160e-01 -8.60205598e-02 -5.57719110e-01
-7.26307160e-01 -8.60205598e-02  0.00000000e+00
TS 0  2.10100000e+00
-7.15696015e-01  4.45875453e-04 -6.75017209e-02
-7.15696015e-01  4.45875453e-04  0.00000000e+00
-2.15794201e-01 -7.88307942e-01 -9.22878323e-01
-5.62100529e-01 -8.64050052e-02 -1.98665259e-11
-6.24721907e-01  3.32655681e-01 -1.87729471e+00
 2.12484483e-01  2.61801444e-01  4.77764842e-11
-8.12929485e-01 -1.02819641e-01 -6.90946131e-01
-8.12929485e-01 -1.02819641e-01  0.00000000e+00
TS 0  2.15100000e+00
-7.29007485e-01  2.59304620e-02 -1.23255960e-01
-7.29007485e-01  2.59304620e-02  0.00000000e+00
-2.51218651e-01 -8.14238514e-01 -8.94514824e-01
-5.87688695e-01 -1.07770758e-01 -9.35271235e-12
-6.27507800e-01  3.34249493e-01 -1.74638958e+00
 2.58154544e-01  2.24138338e-01  1.98587002e-11
-8.50132033e-01 -9.99181787e-02 -6.29581653e-01
-8.50132033e-01 -9.99181787e-02  0.00000000e+00
TS 0  2.20100000e+00
-6.94408934e-01  6.41843457e-02 -1.80425133e-01
-6.94408934e-01  6.41843457e-02  0.00000000e+00
-2.55763261e-01 -8.03902586e-01 -9.07425185e-01
-5.91435608e-01 -1.36835164e-01 -2.52401733e-10
-6.40518422e-01  3.18081586e-01 -1.50564508e+00
 2.74172957e-01  2.06887070e-01  2.47446394e-10
-8.22329335e-01 -7.58715129e-02 -3.84539161e-01
-8.22329335e-01 -7.58715129e-02  0.00000000e+00
TS 0  2.25100000e+00
-6.10065214e-01  1.03893945e-01 -2.13029625e-01
-6.10065214e-01  1.03893945e-01  0.00000000e+00
-2.28049225e-01 -7.59264203e-01 -9.53177763e-01
-5.84427052e-01 -1.68843950e-01  3.15111648e-11
-6.68576979e-01  2.87058189e-01 -1.16896291e+00
 2.64114796e-01  2.09575598e-01 -4.19535270e-11
-7.20768992e-01 -3.47260474e-02  2.53564150e-03
-7.20768992e-01 -3.47260474e-02  0.00000000e+00
TS 0  2.30100000e+00
-4.76039097e-01  1.31192693e-01 -1.89613864e-01
-4.76039097e-01  1.31192693e-01  0.00000000e+00
-1.71721053e-01 -6.80999271e-01 -1.00812679e+00
-5.73691236e-01 -1.95725202e-01  5.07281696e-10
-7.01265651e-01  2.44165348e-01 -7.57887074e-01
 2.33599296e-01  2.26066917e-01 -3.60936703e-10
-5.51591385e-01  1.32068174e-02  4.51082137e-01
-5.51591385e-01  1.32068174e-02  0.00000000e+00
TS 0  2.35100000e+00
-2.96829557e-01  1.33730242e-01 -8.70478853e-02
-2.96829557e-01  1.33730242e-01  0.00000000e+00
-9.61724903e-02 -5.69196780e-01 -1.03079492e+00
-5.57517299e-01 -2.07310124e-01  2.84943642e-10
-7.11572514e-01  1.92917954e-01 -3.15423613e-01
 1.88856342e-01  2.42994070e-01 -2.46583700e-10
-3.39148949e-01  5.42757770e-02  8.35242130e-01
-3.39148949e-01  5.42757770e-02  0.00000000e+00
TS 0  2.40100000e+00
-8.47467726e-02  1.05532151e-01  8.92163806e-02
-8.47467726e-02  1.05532151e-01  0.00000000e+00
-1.82623516e-02 -4.26982208e-01 -9.59109531e-01
-5.21508985e-01 -1.93214445e-01  3.90512854e-10
-6.62275154e-01  1.37124852e-01  8.45959958e-02
 1.36474318e-01  2.40690615e-01 -5.61667725e-10
-1.18403114e-01  7.75751422e-02  1.01947395e+00
-1.18403114e-01  7.75751422e-02  0.00000000e+00
TS 0  2.45100000e+00
 1.40117704e-01  5.12623354e-02  2.88705844e-01
 1.40117704e-01  5.12623354e-02  0.00000000e+00
 4.02738162e-02 -2.62284085e-01 -7.25739113e-01
-4.41283350e-01 -1.47775509e-01 -9.86913969e-11
-5.22235211e-01  7.95445163e-02  3.79088535e-01
 8.29669250e-02  2.01572319e-01 -1.45888939e-10
 8.03442125e-02  7.89644317e-02  9.25091493e-01
 8.03442125e-02  7.89644317e-02  0.00000000e+00
TS 0  2.50100000e+00
 3.55014172e-01 -1.71417967e-02  4.35640439e-01
