Node 	 Time 	 Analytic Concentration 	 Model Computed Concentration 	 Node Error 	 GRID RMS ERROR
 1543	      17500.0000000000 	          0.0100000000 	         0.0099999964 	          0.0000000036 	         0.0000479829
 1543	      17600.0000000000 	          0.0100000000 	         0.0099999972 	          0.0000000028 	         0.0000477891
 1543	      17700.0000000000 	          0.0100000000 	         0.0099999978 	          0.0000000022 	         0.0000475656
 1543	      17800.0000000000 	          0.0100000000 	         0.0099999983 	          0.0000000017 	         0.0000473074
 1543	      17900.0000000000 	          0.0100000000 	         0.0099999987 	          0.0000000013 	         0.0000470092
 1543	      18000.0000000000 	          0.0100000000 	         0.0099999990 	          0.0000000010 	         0.0000466659
 1543	      18100.0000000000 	          0.0100000000 	         0.0099999993 	          0.0000000007 	         0.0000462725
 1543	      18200.0000000000 	          0.0100000000 	         0.0099999994 	          0.0000000006 	         0.0000458243
 1543	      18300.0000000000 	          0.0100000000 	         0.0099999996 	          0.0000000004 	         0.0000453175
 1543	      18400.0000000000 	          0.0100000000 	         0.0099999997 	          0.0000000003 	         0.0000447487
 1543	      18500.0000000000 	          0.0100000000 	         0.0099999997 	          0.0000000003 	         0.0000441157
 1543	      18600.0000000000 	          0.0100000000 	         0.0099999998 	          0.0000000002 	         0.0000434173
 1543	      18700.0000000000 	          0.0100000000 	         0.0099999999 	          0.0000000001 	         0.0000426534
 1543	      18800.0000000000 	          0.0100000000 	         0.0099999999 	          0.0000000001 	         0.0000418250
 1543	      18900.0000000000 	          0.0100000000 	         0.0099999999 	          0.0000000001 	         0.0000409344
 1543	      19000.0000000000 	          0.0100000000 	         0.0099999999 	          0.0000000001 	         0.0000399849
 1543	      19100.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000389808
 1543	      19200.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000379272
 1543	      19300.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000368300
 1543	      19400.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000356952
 1543	      19500.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000345295
 1543	      19600.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000333393
 1543	      19700.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000321309
 1543	      19800.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000309107
 1543	      19900.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000296842
 1543	      20000.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000284569
 1543	      20100.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000272334
 1543	      20200.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000260181
 1543	      20300.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000248148
 1543	      20400.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000236268
 1543	      20500.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000224570
 1543	      20600.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000213081
 1543	      20700.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000201823
 1543	      20800.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000190818
 1543	      20900.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000180084
 1543	      21000.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000169640
 1543	      21100.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000159501
 1543	      21200.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000149682
 1543	      21300.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000140197
 1543	      21400.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000131057
